Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/admin/backup,2297,0,20,48.005599270370226,7.101228999090381,1749.0263430008781,207.0,0.15955647359970324,0.0,20,31,44,56,110,180,290,440,990,1700,1700
GET,/admin/users,5596,0,19,42.86184307847354,6.869206998089794,1755.2890730003128,207.0,0.3887148568846057,0.0,19,28,38,47,87,150,270,400,960,1800,1800
GET,/api/ai/stats,26009,0,19,42.70438744485239,6.813707994297147,1897.3964959950536,207.0,1.8066627435153164,0.0,19,28,39,48,88,160,260,380,890,1500,1900
GET,/api/dashboard,34805,0,64,114.32128726272553,16.808129999844823,2598.8166620008997,15922.0,2.417659148296766,0.0,64,92,120,140,240,360,600,850,1700,2500,2600
GET,/change-control,12967,0,19,41.76388946579464,6.853692997538019,1577.7024540002458,207.0,0.9007265098682421,0.0,19,28,38,48,90,150,250,380,760,1400,1600
POST,/change-control/request/create,4380,0,20,42.26058865388705,7.1590949955862015,1381.4156980006373,207.0,0.30424786868380505,0.0,20,28,38,48,87,160,260,390,910,1400,1400
GET,/dashboard,43697,0,63,111.93819415342396,16.713586999685504,2778.9049159982824,15922.0,3.035323999515121,0.0,63,91,120,140,240,350,580,810,1600,2600,2800
POST,/login,50,0,110.0,120.74422480000067,44.10745699715335,323.07941400358686,15931.0,0.0034731491858881855,0.0,110,130,150,180,220,240,320,320,320,320,320
GET,/logs,21700,0,19,42.32375623933797,6.876432002172805,1404.1124200011836,207.0,1.5073467466754726,0.0,19,28,38,48,90,160,270,380,850,1200,1400
GET,/reports,17386,0,64,115.01032497992792,16.875973000423983,2814.0153249987634,15922.0,1.20768343491704,0.0,64,92,120,140,240,360,630,910,1600,2800,2800
GET,/reports/export/pdf,3246,0,19,42.055256476026365,6.897020997712389,1144.2826209968189,207.0,0.225476845147861,0.0,19,27,37,46,94,160,260,380,840,1100,1100
GET,/settings,8833,0,19,40.912076960255405,6.920728999830317,1628.059023998503,207.0,0.6135665351790068,0.0,19,27,36,45,81,140,240,350,1200,1600,1600
GET,/training,8540,0,19,43.82672404110897,6.965706001210492,1645.9196249998058,207.0,0.5932138809497021,0.0,19,28,40,49,92,160,280,390,880,1600,1600
GET,/validation,13105,0,19,40.84612782658872,6.80502199975308,1825.5484580004122,207.0,0.9103124016212935,0.0,19,28,38,47,85,150,240,340,810,1700,1800
GET,/validation/documents,5861,0,18,42.47859736161269,7.004482999036554,1423.4596989990678,207.0,0.40712254756981314,0.0,18,27,36,45,85,160,270,410,1000,1400,1400
GET,/validation/export/iq-template,9680,0,18,40.832200602995755,6.911799006047659,1489.88797399943,207.0,0.6724016823879527,0.0,18,26,35,44,85,160,260,390,810,1500,1500
GET,/validation/tests,15903,0,18,40.70681039799199,6.821763003244996,1760.33793699753,207.0,1.1046698300635962,0.0,18,26,36,44,82,140,240,400,960,1600,1800
,Aggregated,234055,0,34,71.2689898519985,6.80502199975308,2814.0153249987634,6648.503578218795,16.258158654061187,0.0,34,55,73,89,160,250,420,610,1400,2200,2800
